artist_id,artist_name,status,submitted_by,reviewed_by
5ksRONqssB7BR161NTtJAm,Ace of Base,approved,2,1
26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,approved,2,1
6sN51vEARnAAdBw1IKZ8Q9,Liam Gallagher,approved,2,1
7dnB1wSxbYa8CejeVg98hz,Meat Loaf,approved,2,1
5Mq7iqCWBzofK39FBqblNc,Jessie Ware,approved,2,1
7JSIM5U7TZym5M3Q1AFG80,The Orlons,approved,2,1
5JmeloS88DjYXJulG7qgwF,The Getaway Plan,approved,2,1
5EvFsr3kj42KNv97ZEnqij,Shaggy,approved,2,1
0hXfXDhsiayeNFG98qOPHs,Brian & Tony Gold,approved,2,1
59hLmB5DrdihCYtNeFeW1U,Glen Campbell,approved,2,1
5MJAppfS5mnKHGtfQIjJI4,Monte Video,approved,2,1
5PjekOABtfU2Kwo0AHVmci,Guy Sebastian,approved,2,1
57bUPid8xztkieZfS7OlEV,The Supremes,approved,2,1
6sfUgwUTFjy1SNF2uWOcPp,Kate Miller-Heidke,approved,2,1
4YPqbAiLzBg5DIfsgQZ8QK,Andy Gibb,approved,2,1
1IueXOQyABrMOprrzwQJWN,Sigala,approved,2,1
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,approved,2,1
1rvnJJghrxl1xakJZct08m,Sam Ryder,approved,2,1
0AOfW8WQA50p9xVrK58lDz,Little Cesar & The Romans,approved,2,1
6P7H3ai06vU1sGvdpBwDmE,Steely Dan,approved,2,1
1Qw8MHpjYxm9Xf0O1ZfPiX,Gary U.S. Bonds,approved,2,1
3PAjYEQ8KpL6u0fNDR0p1v,Thandi Phoenix,approved,2,1
4KQNF34GIZZWL10tS3XNTk,Bachelor Girl,approved,2,1
6MDME20pz9RveH9rEXvrOM,Clean Bandit,approved,2,1
3Isy6kedDrgPYoTS1dazA9,Sean Paul,approved,2,1
04LIHk1SobiQwt2tlupoAV,Leo Sayer,approved,2,1
2WX2uTcsvV5OnS0inACecP,Birdy,approved,2,1
2utNxkLhreF1oIfO8kQT3q,Manfred Mann's Earth Band,approved,2,1
2ZfogSsOWP4mVfEqfpLXCt,The Church,approved,2,1
23fqKkggKUBHNkbKtXEls4,Kygo,approved,2,1
1QDrz3DMMaz3TB1cm0PGDu,Justin Jesso,approved,2,1
25ou7Y6W7L1fcMoCZMbf86,Birds Of Tokyo,approved,2,1
3jmxkI8Jhv8bHOd2qSiU9j,Serena Ryder,approved,2,1
0awl5piYwO0CDTHEkCjUhn,Nico & Vinz,approved,2,1
4Vm2YhEoOSnOLqDPmHbUSh,Bill Blacks Combo,approved,2,1
1e8GEl48ktvfDpruMKB6Oe,Las Ketchup,approved,2,1
2SpBHedVhtdmYRQM1lvBm2,"""Jesus Christ Superstar"" 1992 Australian Cast",approved,2,1
30QTFUH0b7B75FCX7cC9ea,Jon Stevens,approved,2,1
4Lwkfwwvx9G7CJqFdXBwy2,Kate Cebrano,approved,2,1
03wx6Q0Osk88eyEyZjCk6e,Absolutely Fabulous,approved,2,1
2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys,approved,2,1
2cGwlqi3k18jFpUyTrsR84,The Verve,approved,2,1
0rvjqX7ttXeg3mTy8Xscbt,Journey,approved,2,1
