artist_id,genre
a364,pinoy hip hop
a366,solo wave
a366,synthpop
a366,uk post-punk
a367,australian hip hop
a153,canadian hip hop
a153,canadian pop
a153,pop rap
a368,barbadian pop
a368,pop
a368,urban contemporary
a368,canadian hip hop
a368,canadian pop
a368,hip hop
a368,pop rap
a368,rap
a369,hardcore techno
a369,hip house
a369,rave
a370,australian pop
a370,australian talent show
a371,bubblegum pop
a372,australian rock
a373,folk-pop
a373,modern rock
a373,neo mellow
a373,stomp and holler
a374,album rock
a374,classic canadian rock
a374,classic rock
a374,country rock
a374,folk rock
a374,hard rock
a374,mellow gold
a374,rock
a374,singer-songwriter
a374,soft rock
a375,classic uk pop
a375,merseybeat
a376,classic uk pop
a377,australian rock
a378,new romantic
a378,new wave
a378,new wave pop
a378,synthpop
a379,album rock
a379,classic rock
a379,hard rock
a379,heartland rock
a379,mellow gold
a379,rock
a379,singer-songwriter
a379,soft rock
a380,adult standards
a380,mellow gold
a380,soft rock
a381,album rock
a381,blues rock
a381,classic rock
a381,country rock
a381,hard rock
a381,heartland rock
a381,mellow gold
a381,rock
a381,singer-songwriter
a381,soft rock
a381,southern rock
a382,australian dance
a382,australian pop
a382,dance pop
a382,eurodance
a382,new wave pop
a383,dance pop
a383,miami hip hop
a383,pop
a383,pop rap
a384,album rock
a384,british blues
a384,classic rock
a384,glam metal
a384,hard rock
a384,metal
a384,rock
a385,neo mellow
a385,post-teen pop
a273,dance pop
a386,pop dance
a386,uk dance
a386,uk funky
a386,dance pop
a387,disco
a388,atl hip hop
a388,dirty south rap
a388,hip hop
a388,old school atlanta hip hop
a388,rap
a388,southern hip hop
a389,australian dance
a389,australian house
a390,dance pop
a390,pop
a390,post-teen pop
a391,europop
a392,australian pop
a392,europop
a392,girl group
a394,hip pop
a394,pop rap
a394,southern hip hop
a394,urban contemporary
a395,deep adult standards
a396,classic rock
a396,rock
a397,portland indie
a398,indietronica
a398,modern alternative rock
a398,modern rock
a398,rock
a399,romanian pop
a400,album rock
a400,classic rock
a400,hard rock
a400,mellow gold
a400,new romantic
a400,new wave
a400,new wave pop
a400,permanent wave
a400,power pop
a400,rock
a400,singer-songwriter
a400,soft rock
a400,synthpop
a401,australian indigenous music
a401,australian r&b
a402,dance pop
a402,miami hip hop
a402,pop
a402,pop rap
a403,new romantic
a403,new wave pop
a403,soft rock
a403,synthpop
a404,dance pop
a404,edm
a404,pop
a404,pop dance
a404,progressive electro house
a405,canadian country
a405,canadian pop
a405,contemporary country
a405,country
a405,country dawn
a406,dance rock
a406,new romantic
a406,new wave
a406,new wave pop
a406,soft rock
a406,sophisti-pop
a406,synthpop
a406,singer-songwriter
a406,rock keyboard
a407,dance rock
a407,new romantic
a407,new wave
a407,new wave pop
a407,soft rock
a407,sophisti-pop
a407,synthpop
a407,singer-songwriter
a407,rock keyboard
a408,dance rock
a408,new romantic
a408,new wave
a408,new wave pop
a408,soft rock
a408,sophisti-pop
a408,synthpop
a408,singer-songwriter
a408,rock keyboard
a410,dance pop
a410,miami hip hop
a410,pop
a410,girl group
a410,post-teen pop
a410,talent show
a411,dance pop
a411,miami hip hop
a411,pop
a411,girl group
a411,post-teen pop
a411,talent show
a412,adult standards
a412,disco
a412,funk
a412,mellow gold
a412,motown
a412,quiet storm
a412,soft rock
a412,soul
a413,pop dance
a413,uk dance
a413,uk funky
a413,dance pop
a413,talent show
a413,uk pop
a414,contemporary country
a414,country
a414,country dawn
a414,country pop
a414,country road
a415,ectofolk
a415,lilith
a415,neo mellow
a415,pop rock
a415,scottish singer-songwriter
a416,album rock
a416,classic rock
a416,hard rock
a416,rock
a417,canadian pop
a417,candy pop
a417,dance pop
a417,pop
a418,australian pop
a419,hip house
a419,uk dance
a420,pop
a420,post-teen pop
a421,modern rock
a421,pop
a421,rock
a423,boston punk
a423,boston rock
a423,punk
a423,ska
a423,ska punk
a423,skate punk
a424,adult standards
a424,brill building pop
a424,merseybeat
a424,rock-and-roll
a424,rockabilly
a425,dutch house
a425,edm
a425,electro house
a425,pop dance
a425,progressive electro house
a425,disco
a426,dutch house
a426,edm
a426,electro house
a426,pop dance
a426,progressive electro house
a426,disco
a20,dutch house
a20,edm
a20,electro house
a20,pop dance
a20,progressive electro house
a254,dutch pop
a254,freestyle
a427,diva house
a427,garage house
a427,vocal house
a427,dutch pop
a427,freestyle
a428,diva house
a428,garage house
a428,vocal house
a428,dutch pop
a428,freestyle
a429,alternative metal
a429,nu metal
a429,post-grunge
a429,rock
a430,new romantic
a430,new wave
a430,new wave pop
a430,sophisti-pop
a430,synthpop
a431,disco
a431,new wave pop
a431,soft rock
a432,alternative metal
a432,permanent wave
a432,post-grunge
a432,punk
a432,rock
a432,skate punk
a432,socal pop punk
a433,adult standards
a433,bubblegum pop
a434,adult standards
a434,bubblegum pop
a435,album rock
a435,mellow gold
a435,new romantic
a435,new wave
