track_id,track_name,popularity,duration_ms,explicit,preview_url,status,submitted_by,reviewed_by
4zCWUhwXEgXrUY2C0hBfl2,Be Mine!,0,206600,0,https://p.scdn.co/mp3-preview/937a26765ef0d3e111d849f0cd9aaa264543e056?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
6ZyNjT2hYvfV5PuW84dp1E,1 Thing,49,238746,0,https://p.scdn.co/mp3-preview/cef2e21106063ac165efc52161cf06afce34e2db?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
44x9GdJsYmbaYRBm8ROyfL,One Way Ticket,42,266973,0,https://p.scdn.co/mp3-preview/68fc9e1bf02ebe8b2dc995d1866b174e607429b5?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
3YKQqwURGKQnxk9TKfq1gE,Two Faces Have I,0,169157,0,https://p.scdn.co/mp3-preview/5a63f763117074a739deca59f8d37a56e6bad6a6?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0PhU6i6Kei6x0CH3jocvA3,Freedom,57,302200,0,https://p.scdn.co/mp3-preview/57ebb2b980fe5ced3ccda0f8fe90dc7b5639ce7a?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2NtqZmfRIDkXJ2YvY2Kv1F,Lido Shuffle,3,221613,0,https://p.scdn.co/mp3-preview/8fde29ce9823e64e56225ce0d882cc6c888d4203?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2DLkQzNRBgaAbCX4MscyTC,Slice of Heaven,0,277266,0,https://p.scdn.co/mp3-preview/c1f376811babf8078aaefd749e2a09500190535e?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
10pSiR20z5pY7a80uysJ3P,Stone,18,212155,0,https://p.scdn.co/mp3-preview/b400cc821253efae91653a1207f00b933ad3db8d?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
1jeWrScZZuhw3b55T1fv4O,Tell Him (Duet with Barbra Streisand),0,291160,0,https://p.scdn.co/mp3-preview/a5567de09980de38abd28dca6b78ecc45baad6ab?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0uOKq55dztn2zNxpORp9F2,The Nips Are Getting Bigger,51,200666,0,https://p.scdn.co/mp3-preview/26fc68896f19891d692015e02ed759819c678b0e?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
1XNvUrCop20hAWfROW1CoV,Dance Wiv Me - Radio Edit,41,203571,0,https://p.scdn.co/mp3-preview/20be0efb3ea6d05ca51b7fbad5280ad4fb194853?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0LzeivEHO16a8eBQGlpVkE,Love Shack - Edit; 2019 Remaster,52,262586,0,https://p.scdn.co/mp3-preview/f662aaccb02e76391d41af15b6700010f147cf0b?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
5pZrTiyyerSGHUJExDCOxZ,Country Grammar (Hot Shit),0,287000,1,https://p.scdn.co/mp3-preview/477e81c7439a989179b38848490ba915c4edd6b8?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2cGxRwrMyEAp8dEbuZaVv6,Instant Crush (feat. Julian Casablancas),74,337560,0,https://p.scdn.co/mp3-preview/a52d000457fc91fdb18bfaa1f690c82bf7b1a036?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
